<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
3M	15	02/01/18	17:45:00	235.6000000	236.9500000	235.5700000	236.0400000	11508
3M	15	02/01/18	18:00:00	235.9200000	235.9700000	235.4700000	235.9000000	12148
3M	15	02/01/18	18:15:00	235.9800000	236.1200000	235.1600000	235.3900000	10249
3M	15	02/01/18	18:30:00	235.4900000	235.7000000	234.7300000	234.8400000	15729
3M	15	02/01/18	18:45:00	234.8500000	234.9100000	233.2700000	233.5400000	18403
3M	15	02/01/18	19:00:00	233.4500000	233.6200000	233.0000000	233.3700000	7228
3M	15	02/01/18	19:15:00	233.4000000	233.4300000	232.8600000	233.0100000	17363
3M	15	02/01/18	19:30:00	233.0300000	233.4200000	232.8500000	233.0200000	24292
3M	15	02/01/18	19:45:00	233.0900000	233.3500000	232.8200000	233.0100000	19223
3M	15	02/01/18	20:00:00	232.9600000	233.3200000	232.8100000	233.2700000	27853
3M	15	02/01/18	20:15:00	233.5200000	233.9000000	233.4600000	233.6800000	20028
3M	15	02/01/18	20:30:00	233.6900000	233.7750000	233.4600000	233.4600000	26183
3M	15	02/01/18	20:45:00	233.4800000	233.4800000	233.2470000	233.3700000	16371
3M	15	02/01/18	21:00:00	233.3800000	233.5000000	233.1800000	233.4500000	8984
3M	15	02/01/18	21:15:00	233.5300000	233.7000000	233.4900000	233.6600000	9877
3M	15	02/01/18	21:30:00	233.6900000	233.8300000	233.6400000	233.7300000	13642
3M	15	02/01/18	21:45:00	233.8900000	234.0400000	233.6400000	233.7550000	10606
3M	15	02/01/18	22:00:00	233.7700000	233.8600000	233.7000000	233.8600000	17560
3M	15	02/01/18	22:15:00	233.9700000	234.4300000	233.8400000	234.3850000	20719
3M	15	02/01/18	22:30:00	234.4100000	234.5400000	234.3200000	234.4300000	12338
3M	15	02/01/18	22:45:00	234.4364000	234.4600000	234.0300000	234.1300000	15289
3M	15	02/01/18	23:00:00	234.1700000	234.7000000	234.1200000	234.6850000	18134
3M	15	02/01/18	23:15:00	234.6700000	234.9300000	234.5200000	234.9100000	7970
3M	15	02/01/18	23:30:00	234.8900000	235.1700000	234.8800000	235.1700000	9387
3M	15	02/01/18	23:45:00	235.1500000	235.1900000	234.9200000	235.1152000	12363
3M	15	03/01/18	00:00:00	235.1400000	235.6900000	235.1300000	235.6500000	22770
3M	15	03/01/18	17:45:00	235.0700000	235.0700000	234.2800000	234.3800000	53169
3M	15	03/01/18	18:00:00	234.4901000	234.6200000	233.6900000	233.8500000	14019
3M	15	03/01/18	18:15:00	233.9100000	234.1950000	233.8100000	233.8500000	10225
3M	15	03/01/18	18:30:00	234.0483000	234.1600000	233.8600000	233.9200000	23346
3M	15	03/01/18	18:45:00	233.9300000	234.1300000	233.8700000	234.0700000	9727
3M	15	03/01/18	19:00:00	234.0700000	234.0700000	233.2900000	233.6400000	7542
3M	15	03/01/18	19:15:00	233.7000000	233.7300000	233.5700000	233.6000000	3738
3M	15	03/01/18	19:30:00	233.5700000	234.0300000	233.5500000	233.9997000	7695
3M	15	03/01/18	19:45:00	234.0500000	234.2900000	233.9200000	233.9400000	6797
3M	15	03/01/18	20:00:00	233.9700000	234.3700000	233.8200000	234.3200000	17554
