<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
3M	30	02/01/19	18:00:00	187.8200000	188.4000000	186.7500000	187.8100000	12200
3M	30	02/01/19	18:30:00	187.4500000	189.3200000	187.2100000	188.6600000	19451
3M	30	02/01/19	19:00:00	188.7600000	190.1800000	188.2200000	189.7100000	24503
3M	30	02/01/19	19:30:00	189.7100000	190.2500000	189.4200000	189.7200000	20036
3M	30	02/01/19	20:00:00	189.7400000	190.4500000	189.3800000	189.5750000	14800
3M	30	02/01/19	20:30:00	189.5600000	189.7000000	189.0100000	189.0600000	16934
3M	30	02/01/19	21:00:00	189.0900000	189.6800000	188.8450000	189.5200000	29797
3M	30	02/01/19	21:30:00	189.5900000	190.6500000	189.5900000	190.6300000	24312
3M	30	02/01/19	22:00:00	190.5600000	190.6900000	190.0500000	190.6900000	15483
3M	30	02/01/19	22:30:00	190.7500000	190.7500000	189.1000000	189.6400000	15794
3M	30	02/01/19	23:00:00	189.6506000	190.0400000	189.5400000	189.7000000	21527
3M	30	02/01/19	23:30:00	189.4500000	189.8700000	188.8200000	189.3100000	22421
3M	30	03/01/19	00:00:00	189.2000000	190.9700000	188.7000000	190.9300000	32566
3M	30	03/01/19	18:00:00	188.2800000	188.2800000	185.5600000	186.4300000	32255
3M	30	03/01/19	18:30:00	186.4100000	186.4100000	183.5100000	184.1000000	28710
3M	30	03/01/19	19:00:00	184.0800000	184.0800000	182.8900000	183.6300000	27352
3M	30	03/01/19	19:30:00	183.6700000	184.2500000	182.9600000	183.4100000	20765
3M	30	03/01/19	20:00:00	183.5300000	186.3500000	183.5200000	185.9654000	26603
3M	30	03/01/19	20:30:00	185.8400000	186.4100000	185.5000000	185.9700000	25382
3M	30	03/01/19	21:00:00	186.0700000	186.5100000	185.5700000	186.3600000	32742
3M	30	03/01/19	21:30:00	186.1100000	186.1100000	184.4200000	184.6700000	24282
3M	30	03/01/19	22:00:00	184.8000000	185.4000000	184.3364000	184.5250000	16241
3M	30	03/01/19	22:30:00	184.4700000	184.8200000	184.1600000	184.6400000	23457
3M	30	03/01/19	23:00:00	184.6300000	185.2100000	183.8400000	183.8900000	15299
3M	30	03/01/19	23:30:00	183.8200000	184.2800000	183.5000000	184.1800000	21134
3M	30	04/01/19	00:00:00	184.0400000	184.7200000	183.3500000	183.6350000	25259
3M	30	04/01/19	18:00:00	186.7500000	188.2100000	186.0900000	188.2100000	41144
3M	30	04/01/19	18:30:00	188.4000000	189.9000000	187.3900000	189.8204000	19861
3M	30	04/01/19	19:00:00	189.9800000	190.3700000	189.3100000	190.0100000	28920
3M	30	04/01/19	19:30:00	189.9400000	190.4800000	189.1400000	189.5400000	33062
3M	30	04/01/19	20:00:00	189.5400000	190.5000000	189.2300000	190.2800000	39810
3M	30	04/01/19	20:30:00	190.1600000	191.1800000	189.7000000	190.9800000	19651
3M	30	04/01/19	21:00:00	191.1500000	191.7200000	190.8450000	191.5484000	29509
3M	30	04/01/19	21:30:00	191.5700000	191.9800000	191.0300000	191.2700000	20730
3M	30	04/01/19	22:00:00	191.2700000	191.4200000	190.6800000	190.7400000	22998
3M	30	04/01/19	22:30:00	190.9100000	190.9400000	190.3200000	190.7100000	25856
3M	30	04/01/19	23:00:00	190.7100000	191.3300000	190.5300000	190.6200000	19517
3M	30	04/01/19	23:30:00	190.6300000	191.1800000	190.2000000	190.3900000	18756
3M	30	05/01/19	00:00:00	190.4800000	191.4400000	190.4100000	191.2400000	36057
3M	30	07/01/19	18:00:00	191.3600000	191.7400000	188.6700000	190.0000000	64558
3M	30	07/01/19	18:30:00	189.9200000	190.7600000	189.2500000	189.9200000	11518
3M	30	07/01/19	19:00:00	190.0000000	191.0400000	189.8900000	191.0400000	22068
3M	30	07/01/19	19:30:00	190.9800000	191.4700000	190.8300000	191.1900000	19027
3M	30	07/01/19	20:00:00	191.2300000	191.9700000	191.0600000	191.7600000	19780
3M	30	07/01/19	20:30:00	191.8000000	191.9040000	191.3500000	191.6900000	23720
3M	30	07/01/19	21:00:00	191.6900000	191.9500000	191.6101000	191.7000000	19459
3M	30	07/01/19	21:30:00	191.7000000	192.1500000	191.5300000	192.0200000	19748
3M	30	07/01/19	22:00:00	192.0700000	192.2900000	191.1000000	191.1000000	13608
3M	30	07/01/19	22:30:00	191.1600000	191.4100000	190.6600000	190.6900000	13633
3M	30	07/01/19	23:00:00	190.6700000	190.7300000	189.9400000	190.1200000	20516
3M	30	07/01/19	23:30:00	190.1700000	191.5400000	190.1600000	191.3900000	19791
3M	30	08/01/19	00:00:00	191.2500000	191.2500000	190.6100000	190.8800000	22414
3M	30	08/01/19	18:00:00	193.0000000	194.0600000	192.5200000	192.6300000	50411
3M	30	08/01/19	18:30:00	192.6800000	192.9200000	191.4300000	191.6200000	19261
3M	30	08/01/19	19:00:00	191.4800000	191.6400000	190.3100000	190.5100000	22536
3M	30	08/01/19	19:30:00	190.4400000	191.0800000	190.2700000	190.2700000	11842
3M	30	08/01/19	20:00:00	190.0700000	190.3100000	189.5800000	190.3100000	24651
3M	30	08/01/19	20:30:00	190.3800000	191.5300000	190.3700000	191.3200000	20224
3M	30	08/01/19	21:00:00	191.3900000	191.4300000	190.5100000	190.8600000	10400
