<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
3M	60	02/01/18	18:00:00	235.6000000	236.9500000	235.4700000	235.9000000	23656
3M	60	02/01/18	19:00:00	235.9800000	236.1200000	233.0000000	233.3700000	51609
3M	60	02/01/18	20:00:00	233.4000000	233.4300000	232.8100000	233.2700000	88731
3M	60	02/01/18	21:00:00	233.5200000	233.9000000	233.1800000	233.4500000	71566
3M	60	02/01/18	22:00:00	233.5300000	234.0400000	233.4900000	233.8600000	51685
3M	60	02/01/18	23:00:00	233.9700000	234.7000000	233.8400000	234.6850000	66480
3M	60	03/01/18	00:00:00	234.6700000	235.6900000	234.5200000	235.6500000	52490
3M	60	03/01/18	18:00:00	235.0700000	235.0700000	233.6900000	233.8500000	67188
3M	60	03/01/18	19:00:00	233.9100000	234.1950000	233.2900000	233.6400000	50840
3M	60	03/01/18	20:00:00	233.7000000	234.3700000	233.5500000	234.3200000	35784
3M	60	03/01/18	21:00:00	234.2700000	235.1300000	234.0410000	235.1300000	73969
3M	60	03/01/18	22:00:00	235.1700000	235.4600000	234.9900000	235.1400000	41171
3M	60	03/01/18	23:00:00	235.1500000	235.4300000	234.8400000	234.9200000	34192
3M	60	04/01/18	00:00:00	234.9500000	235.7200000	234.7000000	235.4800000	33593
3M	60	04/01/18	18:00:00	237.0000000	237.9400000	236.4700000	237.8700000	63465
3M	60	04/01/18	19:00:00	238.0000000	239.3900000	237.4201000	239.0700000	40675
3M	60	04/01/18	20:00:00	239.1300000	239.1500000	238.0100000	238.5900000	72230
3M	60	04/01/18	21:00:00	238.5900000	239.0050000	238.4600000	238.6700000	44245
3M	60	04/01/18	22:00:00	238.7000000	238.7900000	238.5300000	238.7712000	40287
3M	60	04/01/18	23:00:00	238.7800000	239.4200000	238.7500000	238.9300000	46942
3M	60	05/01/18	00:00:00	238.9700000	239.0250000	238.4500000	238.6800000	36550
3M	60	05/01/18	18:00:00	238.9800000	239.5200000	238.0400000	238.3300000	22525
3M	60	05/01/18	19:00:00	238.3600000	238.8300000	237.7900000	238.3200000	30594
3M	60	05/01/18	20:00:00	238.2300000	238.4200000	237.8400000	238.2800000	40926
3M	60	05/01/18	21:00:00	238.2100000	238.2600000	237.7400000	238.0100000	49236
3M	60	05/01/18	22:00:00	238.0500000	238.3800000	237.9800000	238.3400000	34194
3M	60	05/01/18	23:00:00	238.3400000	239.4900000	238.2400000	239.2600000	53277
3M	60	06/01/18	00:00:00	239.2700000	240.9000000	239.2300000	240.4500000	67523
3M	60	08/01/18	18:00:00	239.3800000	240.6000000	239.3400000	240.5300000	25084
3M	60	08/01/18	19:00:00	240.5300000	240.8700000	240.2200000	240.5700000	34835
3M	60	08/01/18	20:00:00	240.5400000	240.7900000	240.0500000	240.0934000	40416
3M	60	08/01/18	21:00:00	240.0900000	240.3500000	239.5330000	239.7893000	41707
3M	60	08/01/18	22:00:00	239.7930000	239.8902000	239.6100000	239.7800000	46181
3M	60	08/01/18	23:00:00	239.7900000	239.7900000	239.1800000	239.6000000	41304
3M	60	09/01/18	00:00:00	239.6450000	239.8000000	239.4300000	239.5700000	42392
3M	60	09/01/18	18:00:00	239.6000000	241.4600000	239.3400000	240.8800000	89518
3M	60	09/01/18	19:00:00	240.8600000	241.2300000	240.7700000	240.9500000	41684
3M	60	09/01/18	20:00:00	241.0800000	241.6300000	240.9200000	241.5200000	38629
3M	60	09/01/18	21:00:00	241.4800000	241.6422000	241.1100000	241.5050000	28849
3M	60	09/01/18	22:00:00	241.5000000	241.7700000	241.4200000	241.7100000	31143
3M	60	09/01/18	23:00:00	241.7700000	241.7700000	241.2800000	241.2800000	33158
3M	60	10/01/18	00:00:00	241.2400000	241.5547000	241.0900000	241.3100000	63226
3M	60	10/01/18	18:00:00	241.0000000	241.3600000	240.1400000	240.3400000	58999
3M	60	10/01/18	19:00:00	240.4200000	241.1000000	240.0500000	240.6200000	46525
3M	60	10/01/18	20:00:00	240.6700000	241.4500000	240.5000000	241.1380000	55921
3M	60	10/01/18	21:00:00	241.1900000	241.6900000	241.1276000	241.4030000	38500
3M	60	10/01/18	22:00:00	241.4000000	242.5500000	241.1400000	242.0100000	44260
3M	60	10/01/18	23:00:00	241.9600000	241.9600000	241.1700000	241.6500000	34895
3M	60	11/01/18	00:00:00	241.6900000	241.9100000	241.0600000	241.0850000	49762
3M	60	11/01/18	18:00:00	240.7400000	241.0400000	239.9200000	241.0400000	69074
3M	60	11/01/18	19:00:00	241.0220000	241.1350000	240.2700000	240.7300000	85910
3M	60	11/01/18	20:00:00	240.7100000	241.3200000	240.7000000	240.9650000	42661
3M	60	11/01/18	21:00:00	240.9900000	241.4395000	240.9600000	241.3300000	50137
3M	60	11/01/18	22:00:00	241.3200000	241.7700000	241.2675000	241.4905000	36286
3M	60	11/01/18	23:00:00	241.5400000	241.7200000	241.2700000	241.4200000	73899
3M	60	12/01/18	00:00:00	241.4200000	242.3400000	241.3400000	242.3250000	94122
3M	60	12/01/18	18:00:00	243.3600000	244.0500000	242.5000000	243.8100000	28910
3M	60	12/01/18	19:00:00	243.8300000	245.6100000	243.7200000	245.3900000	52254
3M	60	12/01/18	20:00:00	245.4800000	246.0000000	245.3700000	245.9800000	60990
3M	60	12/01/18	21:00:00	245.9400000	245.9800000	244.8400000	245.1488000	149557
3M	60	12/01/18	22:00:00	245.1700000	245.3100000	244.6400000	244.7500000	67544
3M	60	12/01/18	23:00:00	244.7600000	244.9300000	244.0800000	244.1400000	75002
3M	60	13/01/18	00:00:00	244.0900000	244.7800000	244.0900000	244.4900000	28135
3M	60	16/01/18	18:00:00	245.3000000	246.1100000	245.3000000	245.9100000	22185
3M	60	16/01/18	19:00:00	245.9100000	247.1800000	245.8000000	246.2300000	32661
3M	60	16/01/18	20:00:00	246.3300000	246.7000000	245.2600000	245.4000000	38437
3M	60	16/01/18	21:00:00	245.4300000	245.6100000	245.0500000	245.6100000	45227
3M	60	16/01/18	22:00:00	245.5289000	245.5400000	244.6500000	244.7439000	44445
3M	60	16/01/18	23:00:00	244.7600000	245.0425000	243.9100000	244.0800000	32641
3M	60	17/01/18	00:00:00	244.0300000	244.9200000	244.0300000	244.7100000	49788
3M	60	17/01/18	18:00:00	246.6100000	247.3900000	245.9400000	246.9300000	21084
3M	60	17/01/18	19:00:00	246.7700000	247.3600000	246.2400000	247.1700000	28140
3M	60	17/01/18	20:00:00	247.1300000	248.5000000	247.1000000	248.2200000	45221
3M	60	17/01/18	21:00:00	248.2200000	248.4000000	247.5300000	248.2800000	40161
3M	60	17/01/18	22:00:00	248.2800000	248.3400000	247.7100000	247.8700000	39355
3M	60	17/01/18	23:00:00	247.8500000	248.1900000	247.7400000	248.0300000	53238
3M	60	18/01/18	00:00:00	248.0100000	248.4300000	248.0100000	248.1450000	25180
3M	60	18/01/18	18:00:00	248.0400000	248.9600000	247.9000000	248.0000000	58133
3M	60	18/01/18	19:00:00	247.9300000	247.9900000	246.2100000	246.3000000	42525
3M	60	18/01/18	20:00:00	246.3500000	246.4300000	245.1100000	245.5000000	30134
3M	60	18/01/18	21:00:00	245.4600000	245.7000000	245.0300000	245.0300000	38312
3M	60	18/01/18	22:00:00	244.9884000	245.5200000	244.9400000	245.4100000	34940
3M	60	18/01/18	23:00:00	245.4700000	246.2700000	245.4700000	246.0000000	34625
3M	60	19/01/18	00:00:00	245.9200000	246.1036000	245.3900000	245.9100000	46962
3M	60	19/01/18	18:00:00	246.6300000	246.7750000	245.7000000	246.6200000	327593
