<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
3M	D	02/01/18	00:00:00	235.6000000	236.9500000	232.8500000	235.6500000	84460
3M	D	03/01/18	00:00:00	234.7300000	235.7200000	233.2900000	235.4800000	65398
3M	D	04/01/18	00:00:00	237.0300000	239.4000000	236.5850000	238.6800000	72384
3M	D	05/01/18	00:00:00	238.9800000	240.9000000	237.8000000	240.4500000	59125
3M	D	08/01/18	00:00:00	239.4100000	240.8700000	239.2100000	239.5700000	43664
3M	D	09/01/18	00:00:00	240.2600000	241.7600000	240.2000000	241.3100000	65200
3M	D	10/01/18	00:00:00	241.0000000	242.5500000	240.0500000	241.0850000	60009
3M	D	11/01/18	00:00:00	240.2600000	242.3400000	239.9700000	242.3250000	31135
3M	D	12/01/18	00:00:00	243.3600000	246.0000000	242.6800000	244.4900000	47088
3M	D	16/01/18	00:00:00	245.6700000	247.1800000	243.9100000	244.7100000	72454
3M	D	17/01/18	00:00:00	246.6100000	248.5000000	245.9400000	248.1450000	77140
3M	D	18/01/18	00:00:00	248.0400000	248.9500000	244.9400000	245.9100000	98026
3M	D	19/01/18	00:00:00	246.3900000	248.5000000	245.7500000	248.1800000	62538
3M	D	22/01/18	00:00:00	247.0000000	247.7500000	245.0900000	247.3600000	58393
3M	D	23/01/18	00:00:00	246.9800000	247.0800000	245.1500000	246.2500000	57940
3M	D	24/01/18	00:00:00	248.0000000	248.5400000	246.2800000	248.0800000	87628
3M	D	25/01/18	00:00:00	249.2500000	254.6100000	247.1000000	252.3100000	128896
3M	D	26/01/18	00:00:00	253.5200000	259.6600000	253.5200000	258.5950000	80544
3M	D	29/01/18	00:00:00	258.6500000	259.0200000	255.9800000	255.9800000	53707
3M	D	30/01/18	00:00:00	255.3600000	255.4400000	251.4700000	251.5000000	60381
3M	D	31/01/18	00:00:00	251.4200000	253.1100000	249.6000000	250.5200000	74775
3M	D	01/02/18	00:00:00	247.1800000	250.0800000	246.8300000	247.8600000	88132
3M	D	02/02/18	00:00:00	246.0000000	248.7300000	244.9600000	245.1300000	135575
3M	D	05/02/18	00:00:00	242.9000000	244.2800000	226.2300000	231.4200000	201953
3M	D	06/02/18	00:00:00	227.6300000	234.5400000	226.9300000	233.7200000	123259
3M	D	07/02/18	00:00:00	233.3200000	237.4600000	232.9000000	233.2300000	76202
3M	D	08/02/18	00:00:00	233.1800000	233.1800000	222.6500000	222.9200000	100104
3M	D	09/02/18	00:00:00	224.6300000	226.8400000	218.1800000	225.1200000	171192
3M	D	12/02/18	00:00:00	227.1400000	230.3100000	226.1000000	229.2400000	118200
3M	D	13/02/18	00:00:00	230.2600000	231.9400000	229.0000000	231.4700000	105642
3M	D	14/02/18	00:00:00	229.2400000	232.8100000	229.1000000	232.0000000	105499
3M	D	15/02/18	00:00:00	233.2200000	234.8750000	230.9000000	234.7200000	64959
3M	D	16/02/18	00:00:00	235.0000000	238.3400000	233.4800000	236.7400000	60786
3M	D	20/02/18	00:00:00	234.7800000	236.6700000	233.9400000	235.0700000	89847
3M	D	21/02/18	00:00:00	234.8700000	237.8400000	232.1700000	232.1700000	94952
3M	D	22/02/18	00:00:00	232.9900000	237.2700000	232.9900000	235.8200000	136265
3M	D	23/02/18	00:00:00	236.4600000	237.8900000	234.4200000	237.0200000	66962
3M	D	26/02/18	00:00:00	239.0000000	244.7800000	239.0000000	244.1200000	98256
3M	D	27/02/18	00:00:00	244.5900000	244.6300000	240.8100000	240.8100000	104344
3M	D	28/02/18	00:00:00	241.9900000	242.2700000	235.4000000	235.4500000	118176
3M	D	01/03/18	00:00:00	236.3400000	236.8200000	229.5700000	231.2300000	198196
3M	D	02/03/18	00:00:00	229.3300000	231.1900000	226.4300000	230.3500000	174034
