<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
3M	15	02/01/19	17:45:00	187.8200000	187.8200000	186.7500000	187.7600000	7300
3M	15	02/01/19	18:00:00	187.7100000	188.4000000	187.5800000	187.8100000	4900
3M	15	02/01/19	18:15:00	187.4500000	189.2200000	187.2100000	189.0850000	10246
3M	15	02/01/19	18:30:00	189.0505000	189.3200000	188.5650000	188.6600000	9205
3M	15	02/01/19	18:45:00	188.7600000	189.3200000	188.2200000	189.3200000	11484
3M	15	02/01/19	19:00:00	189.3600000	190.1800000	189.3600000	189.7100000	13019
3M	15	02/01/19	19:15:00	189.7100000	189.8800000	189.4200000	189.6500000	11008
3M	15	02/01/19	19:30:00	189.6100000	190.2500000	189.4700000	189.7200000	9028
3M	15	02/01/19	19:45:00	189.7400000	190.3000000	189.3800000	190.3000000	5727
3M	15	02/01/19	20:00:00	190.3200000	190.4500000	189.5700000	189.5750000	9073
3M	15	02/01/19	20:15:00	189.5600000	189.7000000	189.2100000	189.7000000	8372
3M	15	02/01/19	20:30:00	189.6000000	189.6500000	189.0100000	189.0600000	8562
3M	15	02/01/19	20:45:00	189.0900000	189.6000000	188.8450000	189.4300000	12984
3M	15	02/01/19	21:00:00	189.6100000	189.6800000	189.1200000	189.5200000	16813
3M	15	02/01/19	21:15:00	189.5900000	190.3800000	189.5900000	190.1593000	7588
3M	15	02/01/19	21:30:00	190.2100000	190.6500000	189.8600000	190.6300000	16724
3M	15	02/01/19	21:45:00	190.5600000	190.5800000	190.0500000	190.2199000	7764
3M	15	02/01/19	22:00:00	190.3200000	190.6900000	190.2400000	190.6900000	7719
3M	15	02/01/19	22:15:00	190.7500000	190.7500000	189.1900000	189.2900000	7044
3M	15	02/01/19	22:30:00	189.2300000	190.0700000	189.1000000	189.6400000	8750
3M	15	02/01/19	22:45:00	189.6506000	190.0400000	189.5400000	189.9200000	10877
3M	15	02/01/19	23:00:00	189.7800000	189.9500000	189.5638000	189.7000000	10650
3M	15	02/01/19	23:15:00	189.4500000	189.8700000	188.9700000	189.2700000	4909
3M	15	02/01/19	23:30:00	189.2400000	189.5000000	188.8200000	189.3100000	17512
3M	15	02/01/19	23:45:00	189.2000000	189.2600000	188.7000000	188.8100000	9140
3M	15	03/01/19	00:00:00	188.8400000	190.9700000	188.8400000	190.9300000	23426
3M	15	03/01/19	17:45:00	188.2800000	188.2800000	185.5600000	186.5500000	22455
3M	15	03/01/19	18:00:00	186.6400000	187.6300000	185.8300000	186.4300000	9800
