<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
3M	60	02/01/19	18:00:00	187.8200000	188.4000000	186.7500000	187.8100000	12200
3M	60	02/01/19	19:00:00	187.4500000	190.1800000	187.2100000	189.7100000	43954
3M	60	02/01/19	20:00:00	189.7100000	190.4500000	189.3800000	189.5750000	34836
3M	60	02/01/19	21:00:00	189.5600000	189.7000000	188.8450000	189.5200000	46731
3M	60	02/01/19	22:00:00	189.5900000	190.6900000	189.5900000	190.6900000	39795
3M	60	02/01/19	23:00:00	190.7500000	190.7500000	189.1000000	189.7000000	37321
3M	60	03/01/19	00:00:00	189.4500000	190.9700000	188.7000000	190.9300000	54987
3M	60	03/01/19	18:00:00	188.2800000	188.2800000	185.5600000	186.4300000	32255
3M	60	03/01/19	19:00:00	186.4100000	186.4100000	182.8900000	183.6300000	56062
3M	60	03/01/19	20:00:00	183.6700000	186.3500000	182.9600000	185.9654000	47368
3M	60	03/01/19	21:00:00	185.8400000	186.5100000	185.5000000	186.3600000	58124
3M	60	03/01/19	22:00:00	186.1100000	186.1100000	184.3364000	184.5250000	40523
3M	60	03/01/19	23:00:00	184.4700000	185.2100000	183.8400000	183.8900000	38756
3M	60	04/01/19	00:00:00	183.8200000	184.7200000	183.3500000	183.6350000	46393
3M	60	04/01/19	18:00:00	186.7500000	188.2100000	186.0900000	188.2100000	41144
3M	60	04/01/19	19:00:00	188.4000000	190.3700000	187.3900000	190.0100000	48781
3M	60	04/01/19	20:00:00	189.9400000	190.5000000	189.1400000	190.2800000	72872
3M	60	04/01/19	21:00:00	190.1600000	191.7200000	189.7000000	191.5484000	49160
3M	60	04/01/19	22:00:00	191.5700000	191.9800000	190.6800000	190.7400000	43728
3M	60	04/01/19	23:00:00	190.9100000	191.3300000	190.3200000	190.6200000	45373
3M	60	05/01/19	00:00:00	190.6300000	191.4400000	190.2000000	191.2400000	54813
3M	60	07/01/19	18:00:00	191.3600000	191.7400000	188.6700000	190.0000000	64558
3M	60	07/01/19	19:00:00	189.9200000	191.0400000	189.2500000	191.0400000	33586
3M	60	07/01/19	20:00:00	190.9800000	191.9700000	190.8300000	191.7600000	38807
3M	60	07/01/19	21:00:00	191.8000000	191.9500000	191.3500000	191.7000000	43179
3M	60	07/01/19	22:00:00	191.7000000	192.2900000	191.1000000	191.1000000	33356
3M	60	07/01/19	23:00:00	191.1600000	191.4100000	189.9400000	190.1200000	34149
3M	60	08/01/19	00:00:00	190.1700000	191.5400000	190.1600000	190.8800000	42205
3M	60	08/01/19	18:00:00	193.0000000	194.0600000	192.5200000	192.6300000	50411
3M	60	08/01/19	19:00:00	192.6800000	192.9200000	190.3100000	190.5100000	41797
3M	60	08/01/19	20:00:00	190.4400000	191.0800000	189.5800000	190.3100000	36493
3M	60	08/01/19	21:00:00	190.3800000	191.5300000	190.3700000	190.8600000	30624
3M	60	08/01/19	22:00:00	190.8800000	191.9300000	190.6500000	191.5100000	56694
3M	60	08/01/19	23:00:00	191.4500000	191.6534000	191.1100000	191.6300000	40662
3M	60	09/01/19	00:00:00	191.5200000	191.8800000	191.1500000	191.7000000	42128
3M	60	09/01/19	18:00:00	193.2500000	193.6200000	192.6800000	193.4200000	48864
3M	60	09/01/19	19:00:00	193.4900000	193.6100000	191.4600000	192.2100000	25074
3M	60	09/01/19	20:00:00	192.1700000	193.2900000	192.0700000	192.8600000	20321
3M	60	09/01/19	21:00:00	192.8600000	193.5800000	192.7500000	193.5600000	42095
3M	60	09/01/19	22:00:00	193.6300000	193.7900000	192.8600000	193.0700000	43804
3M	60	09/01/19	23:00:00	193.5000000	193.9200000	192.4600000	193.1000000	41807
3M	60	10/01/19	00:00:00	193.0800000	193.4900000	191.7700000	192.2300000	28266
3M	60	10/01/19	18:00:00	190.8700000	191.4500000	189.5500000	191.1900000	20019
3M	60	10/01/19	19:00:00	191.4000000	192.7900000	191.4000000	192.7400000	56085
3M	60	10/01/19	20:00:00	192.7400000	193.2600000	192.4149000	192.8700000	40806
3M	60	10/01/19	21:00:00	192.9000000	193.2000000	192.2700000	192.9300000	43579
3M	60	10/01/19	22:00:00	192.8300000	192.9030000	191.3300000	192.0300000	35125
3M	60	10/01/19	23:00:00	192.0200000	193.7900000	192.0200000	192.9600000	61919
3M	60	11/01/19	00:00:00	192.9900000	193.8000000	192.8600000	193.5900000	57287
3M	60	11/01/19	18:00:00	192.2400000	192.3100000	191.1800000	191.8800000	7669
3M	60	11/01/19	19:00:00	191.8600000	192.6100000	190.8650000	192.4800000	43471
3M	60	11/01/19	20:00:00	192.6900000	192.6900000	191.6400000	191.9700000	29911
3M	60	11/01/19	21:00:00	191.9800000	192.2400000	191.5700000	191.8500000	42675
3M	60	11/01/19	22:00:00	191.8000000	192.1000000	191.5000000	191.9800000	39577
3M	60	11/01/19	23:00:00	191.9800000	192.2800000	191.8300000	191.8400000	51343
3M	60	12/01/19	00:00:00	191.8000000	192.2100000	191.4900000	192.1800000	46995
3M	60	14/01/19	18:00:00	190.5700000	191.4300000	189.9800000	191.2800000	19410
3M	60	14/01/19	19:00:00	191.1200000	192.0500000	190.8300000	191.8100000	40087
3M	60	14/01/19	20:00:00	191.7500000	191.9600000	191.1200000	191.4300000	51126
3M	60	14/01/19	21:00:00	191.3700000	192.1400000	191.0700000	191.8200000	47030
3M	60	14/01/19	22:00:00	191.8100000	192.2200000	191.8100000	192.0700000	40779
3M	60	14/01/19	23:00:00	192.0000000	192.7600000	191.9200000	192.7600000	42538
3M	60	15/01/19	00:00:00	192.8300000	192.8300000	191.8700000	192.2400000	63934
3M	60	15/01/19	18:00:00	189.7600000	190.4200000	189.1300000	189.1700000	24664
3M	60	15/01/19	19:00:00	189.3100000	190.5800000	188.8600000	189.3800000	54374
3M	60	15/01/19	20:00:00	189.3900000	189.4000000	188.7700000	189.2300000	35512
3M	60	15/01/19	21:00:00	189.1400000	189.6100000	188.9800000	189.4600000	56732
3M	60	15/01/19	22:00:00	189.3700000	189.4000000	188.7800000	189.3600000	45720
3M	60	15/01/19	23:00:00	189.3100000	189.4600000	187.9600000	188.0000000	44780
3M	60	16/01/19	00:00:00	187.9500000	188.9600000	187.9500000	188.9600000	53025
3M	60	16/01/19	18:00:00	188.5100000	189.5700000	188.4200000	189.3700000	36122
3M	60	16/01/19	19:00:00	189.4100000	189.8400000	189.0200000	189.3800000	34102
3M	60	16/01/19	20:00:00	189.2300000	190.4100000	188.9210000	189.2900000	34060
3M	60	16/01/19	21:00:00	189.3000000	189.7100000	189.1000000	189.6300000	25158
3M	60	16/01/19	22:00:00	189.5800000	189.6150000	189.1400000	189.6000000	37258
3M	60	16/01/19	23:00:00	189.6200000	190.0700000	189.6000000	189.8500000	40296
3M	60	17/01/19	00:00:00	189.8700000	190.1200000	189.3600000	189.4500000	32238
3M	60	17/01/19	18:00:00	188.5600000	189.9400000	188.2200000	189.9000000	24295
3M	60	17/01/19	19:00:00	190.0200000	190.1100000	189.4500000	189.6000000	42942
3M	60	17/01/19	20:00:00	189.6500000	190.4000000	189.6500000	190.2600000	62960
3M	60	17/01/19	21:00:00	190.2600000	190.5700000	189.7200000	189.7200000	38721
3M	60	17/01/19	22:00:00	189.7500000	190.2328000	189.7500000	190.0300000	37603
3M	60	17/01/19	23:00:00	189.9900000	192.8200000	189.5800000	191.5900000	61570
3M	60	18/01/19	00:00:00	191.2500000	191.8100000	190.8800000	191.7000000	40603
3M	60	18/01/19	18:00:00	194.3400000	194.3400000	192.9300000	193.2000000	18453
3M	60	18/01/19	19:00:00	193.1500000	194.2100000	192.4200000	194.0100000	56898
3M	60	18/01/19	20:00:00	194.0100000	195.2200000	194.0100000	195.0400000	58837
3M	60	18/01/19	21:00:00	195.1100000	196.0500000	194.9100000	195.9400000	50116
3M	60	18/01/19	22:00:00	195.8600000	196.0200000	194.8900000	195.4000000	39183
3M	60	18/01/19	23:00:00	195.4500000	195.5769000	194.8300000	195.2000000	48529
3M	60	19/01/19	00:00:00	195.0800000	195.9600000	194.8700000	195.9100000	68832
3M	60	22/01/19	18:00:00	194.2200000	194.4900000	192.4001000	192.8300000	39778
3M	60	22/01/19	19:00:00	192.8600000	193.9100000	192.5300000	193.5700000	49913
3M	60	22/01/19	20:00:00	193.5200000	193.7100000	192.0200000	192.0200000	48351
3M	60	22/01/19	21:00:00	192.0300000	192.3700000	191.7800000	191.9900000	39897
3M	60	22/01/19	22:00:00	191.8000000	191.8000000	190.4300000	191.3000000	39646
3M	60	22/01/19	23:00:00	191.2200000	191.9000000	190.9500000	191.3400000	55152
3M	60	23/01/19	00:00:00	191.3100000	192.3000000	190.9100000	192.3000000	46870
3M	60	23/01/19	18:00:00	192.6300000	194.0000000	192.6300000	192.7000000	53168
3M	60	23/01/19	19:00:00	192.7500000	193.1050000	191.1200000	191.3250000	48587
3M	60	23/01/19	20:00:00	191.3600000	191.9300000	190.4100000	190.6100000	38349
3M	60	23/01/19	21:00:00	190.6000000	191.5250000	190.3300000	191.4700000	42690
3M	60	23/01/19	22:00:00	191.4100000	191.7400000	191.1500000	191.5500000	35705
3M	60	23/01/19	23:00:00	191.5900000	192.0800000	191.2500000	191.5100000	39362
3M	60	24/01/19	00:00:00	191.4300000	192.4450000	191.4200000	192.3300000	45552
3M	60	24/01/19	18:00:00	192.2600000	192.3900000	191.5200000	191.7500000	23584
3M	60	24/01/19	19:00:00	191.6800000	193.0600000	191.6300000	192.7500000	50737
3M	60	24/01/19	20:00:00	192.7900000	193.1300000	192.1300000	193.0900000	44018
3M	60	24/01/19	21:00:00	193.0700000	193.0700000	191.8900000	192.2400000	53458
3M	60	24/01/19	22:00:00	192.1900000	192.2450000	191.5300000	191.9100000	46279
3M	60	24/01/19	23:00:00	191.8100000	192.2800000	191.6800000	192.0800000	46698
3M	60	25/01/19	00:00:00	192.0300000	192.7000000	192.0200000	192.5100000	50189
3M	60	25/01/19	18:00:00	194.7800000	196.2300000	194.6000000	195.9500000	15136
3M	60	25/01/19	19:00:00	195.9100000	197.0600000	195.9100000	196.9200000	44179
3M	60	25/01/19	20:00:00	197.0000000	197.0500000	196.0200000	196.9000000	42652
3M	60	25/01/19	21:00:00	196.8500000	197.0200000	195.6000000	195.9000000	51446
3M	60	25/01/19	22:00:00	195.7800000	196.3600000	195.7800000	196.3600000	44670
