<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
3M	30	02/01/18	18:00:00	235.6000000	236.9500000	235.4700000	235.9000000	23656
3M	30	02/01/18	18:30:00	235.9800000	236.1200000	234.7300000	234.8400000	25978
3M	30	02/01/18	19:00:00	234.8500000	234.9100000	233.0000000	233.3700000	25631
3M	30	02/01/18	19:30:00	233.4000000	233.4300000	232.8500000	233.0200000	41655
3M	30	02/01/18	20:00:00	233.0900000	233.3500000	232.8100000	233.2700000	47076
3M	30	02/01/18	20:30:00	233.5200000	233.9000000	233.4600000	233.4600000	46211
3M	30	02/01/18	21:00:00	233.4800000	233.5000000	233.1800000	233.4500000	25355
3M	30	02/01/18	21:30:00	233.5300000	233.8300000	233.4900000	233.7300000	23519
3M	30	02/01/18	22:00:00	233.8900000	234.0400000	233.6400000	233.8600000	28166
3M	30	02/01/18	22:30:00	233.9700000	234.5400000	233.8400000	234.4300000	33057
3M	30	02/01/18	23:00:00	234.4364000	234.7000000	234.0300000	234.6850000	33423
3M	30	02/01/18	23:30:00	234.6700000	235.1700000	234.5200000	235.1700000	17357
3M	30	03/01/18	00:00:00	235.1500000	235.6900000	234.9200000	235.6500000	35133
3M	30	03/01/18	18:00:00	235.0700000	235.0700000	233.6900000	233.8500000	67188
3M	30	03/01/18	18:30:00	233.9100000	234.1950000	233.8100000	233.9200000	33571
3M	30	03/01/18	19:00:00	233.9300000	234.1300000	233.2900000	233.6400000	17269
3M	30	03/01/18	19:30:00	233.7000000	234.0300000	233.5500000	233.9997000	11433
3M	30	03/01/18	20:00:00	234.0500000	234.3700000	233.8200000	234.3200000	24351
3M	30	03/01/18	20:30:00	234.2700000	234.6200000	234.0410000	234.5600000	38778
3M	30	03/01/18	21:00:00	234.6100000	235.1300000	234.6100000	235.1300000	35191
3M	30	03/01/18	21:30:00	235.1700000	235.2700000	234.9900000	235.1700000	15426
3M	30	03/01/18	22:00:00	235.1200000	235.4600000	235.0400000	235.1400000	25745
3M	30	03/01/18	22:30:00	235.1500000	235.4300000	234.9600000	235.0400000	15750
3M	30	03/01/18	23:00:00	235.0700000	235.1400000	234.8400000	234.9200000	18442
3M	30	03/01/18	23:30:00	234.9500000	234.9900000	234.7000000	234.9600000	14863
3M	30	04/01/18	00:00:00	234.9600000	235.7200000	234.9250000	235.4800000	18730
3M	30	04/01/18	18:00:00	237.0000000	237.9400000	236.4700000	237.8700000	63465
3M	30	04/01/18	18:30:00	238.0000000	238.8200000	237.4201000	238.7500000	20845
3M	30	04/01/18	19:00:00	238.8080000	239.3900000	238.6200000	239.0700000	19830
3M	30	04/01/18	19:30:00	239.1300000	239.1500000	238.4200000	238.6000000	33754
3M	30	04/01/18	20:00:00	238.6600000	238.6600000	238.0100000	238.5900000	38476
3M	30	04/01/18	20:30:00	238.5900000	239.0050000	238.4800000	238.5300000	27045
3M	30	04/01/18	21:00:00	238.5000000	238.7800000	238.4600000	238.6700000	17200
3M	30	04/01/18	21:30:00	238.7000000	238.7900000	238.6000000	238.6600000	15300
3M	30	04/01/18	22:00:00	238.6899000	238.7712000	238.5300000	238.7712000	24987
3M	30	04/01/18	22:30:00	238.7800000	239.0700000	238.7500000	238.9900000	25995
3M	30	04/01/18	23:00:00	238.9900000	239.4200000	238.8500000	238.9300000	20947
3M	30	04/01/18	23:30:00	238.9700000	239.0250000	238.6500000	238.8900000	19038
3M	30	05/01/18	00:00:00	238.9200000	238.9200000	238.4500000	238.6800000	17512
3M	30	05/01/18	18:00:00	238.9800000	239.5200000	238.0400000	238.3300000	22525
3M	30	05/01/18	18:30:00	238.3600000	238.8300000	237.7900000	237.8600000	16578
3M	30	05/01/18	19:00:00	237.9100000	238.4000000	237.8400000	238.3200000	14016
3M	30	05/01/18	19:30:00	238.2300000	238.4000000	238.0600000	238.1500000	17490
3M	30	05/01/18	20:00:00	238.1500000	238.4200000	237.8400000	238.2800000	23436
3M	30	05/01/18	20:30:00	238.2100000	238.2600000	238.0700000	238.0748000	21897
3M	30	05/01/18	21:00:00	238.1100000	238.2550000	237.7400000	238.0100000	27339
3M	30	05/01/18	21:30:00	238.0500000	238.1200000	237.9800000	238.1200000	14647
3M	30	05/01/18	22:00:00	238.1000000	238.3800000	238.0800000	238.3400000	19547
3M	30	05/01/18	22:30:00	238.3400000	239.0000000	238.2400000	238.9300000	19393
3M	30	05/01/18	23:00:00	238.9192000	239.4900000	238.9192000	239.2600000	33884
3M	30	05/01/18	23:30:00	239.2700000	240.5800000	239.2300000	240.4100000	41001
3M	30	06/01/18	00:00:00	240.4600000	240.9000000	240.1900000	240.4500000	26522
3M	30	08/01/18	18:00:00	239.3800000	240.6000000	239.3400000	240.5300000	25084
