<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
America Express	D	02/01/18	00:00:00	99.6300000	99.6300000	98.2200000	98.9500000	75090
America Express	D	03/01/18	00:00:00	99.0800000	99.7100000	99.0500000	99.5500000	95664
America Express	D	04/01/18	00:00:00	100.0400000	101.6400000	100.0000000	100.8200000	84056
America Express	D	05/01/18	00:00:00	101.0000000	101.0800000	100.2800000	101.0200000	78841
America Express	D	08/01/18	00:00:00	101.0000000	101.1500000	100.1400000	100.1500000	113012
America Express	D	09/01/18	00:00:00	100.4000000	100.7800000	100.3200000	100.5100000	197768
America Express	D	10/01/18	00:00:00	100.4500000	101.5800000	100.4500000	101.2000000	122371
America Express	D	11/01/18	00:00:00	101.2500000	101.2500000	100.2300000	100.7100000	144132
America Express	D	12/01/18	00:00:00	100.7600000	101.0200000	99.9800000	100.9600000	145156
America Express	D	16/01/18	00:00:00	101.9500000	102.2800000	100.1500000	100.3500000	260551
America Express	D	17/01/18	00:00:00	100.9800000	100.9800000	99.2400000	100.7300000	211370
America Express	D	18/01/18	00:00:00	100.3300000	100.4000000	99.5800000	99.8700000	206275
America Express	D	19/01/18	00:00:00	97.0100000	98.8300000	96.3600000	97.9700000	529189
America Express	D	22/01/18	00:00:00	97.1100000	98.3400000	96.8600000	98.2950000	272038
America Express	D	23/01/18	00:00:00	98.1500000	98.3900000	97.4500000	97.9400000	164077
America Express	D	24/01/18	00:00:00	98.2200000	99.5100000	98.1900000	99.3100000	256025
America Express	D	25/01/18	00:00:00	99.5200000	100.1000000	99.2100000	99.6700000	132109
America Express	D	26/01/18	00:00:00	99.7400000	99.8800000	98.9800000	99.6000000	124429
America Express	D	29/01/18	00:00:00	99.7600000	100.1700000	99.3900000	99.4200000	104533
America Express	D	30/01/18	00:00:00	99.5900000	100.1000000	98.7200000	98.7200000	153041
America Express	D	31/01/18	00:00:00	98.7200000	99.7100000	98.5200000	99.3700000	108292
America Express	D	01/02/18	00:00:00	98.9000000	100.0300000	98.4400000	99.9900000	104884
America Express	D	02/02/18	00:00:00	99.2800000	99.4900000	96.6600000	96.6600000	235376
America Express	D	05/02/18	00:00:00	95.8300000	96.7000000	88.6800000	92.0600000	360030
America Express	D	06/02/18	00:00:00	89.3500000	94.2200000	89.3500000	94.2000000	440470
America Express	D	07/02/18	00:00:00	93.6000000	94.8500000	93.5900000	93.6100000	212487
America Express	D	08/02/18	00:00:00	93.7800000	93.8900000	88.2800000	88.3400000	382596
America Express	D	09/02/18	00:00:00	89.4700000	92.5100000	87.5500000	91.7100000	825047
America Express	D	12/02/18	00:00:00	92.5400000	95.6200000	92.4200000	94.6800000	437517
America Express	D	13/02/18	00:00:00	93.5000000	94.8000000	92.8300000	94.5700000	364431
America Express	D	14/02/18	00:00:00	94.0400000	96.5600000	93.6900000	96.2300000	276632
America Express	D	15/02/18	00:00:00	97.0700000	97.1600000	95.4600000	96.5600000	168629
America Express	D	16/02/18	00:00:00	96.3600000	97.4900000	96.2600000	96.8000000	278297
America Express	D	20/02/18	00:00:00	96.5900000	97.7000000	96.5500000	97.1900000	287925
America Express	D	21/02/18	00:00:00	96.9400000	98.4800000	96.8000000	97.4800000	428214
America Express	D	22/02/18	00:00:00	97.7100000	98.0700000	97.0500000	97.3600000	648577
America Express	D	23/02/18	00:00:00	97.7300000	98.8400000	97.5700000	98.8200000	138737
America Express	D	26/02/18	00:00:00	99.4300000	101.6700000	98.9700000	101.6500000	481897
America Express	D	27/02/18	00:00:00	101.6800000	102.1200000	99.5900000	99.6000000	415250
America Express	D	28/02/18	00:00:00	99.8800000	100.3500000	97.4700000	97.5100000	292504
America Express	D	01/03/18	00:00:00	97.6700000	98.3000000	94.5300000	95.1400000	434203
America Express	D	02/03/18	00:00:00	94.5400000	95.7500000	93.2100000	95.5800000	649100
America Express	D	05/03/18	00:00:00	94.9900000	97.2800000	94.7500000	96.6700000	226408
America Express	D	06/03/18	00:00:00	96.9000000	96.9000000	95.1400000	96.0800000	322464
America Express	D	07/03/18	00:00:00	95.2700000	95.7000000	94.2800000	95.6400000	317608
America Express	D	08/03/18	00:00:00	96.0500000	96.6700000	95.1100000	96.5800000	285094
America Express	D	09/03/18	00:00:00	97.3100000	99.1000000	97.0600000	99.0700000	251251
America Express	D	12/03/18	00:00:00	99.0900000	99.6900000	97.4900000	97.6100000	270768
America Express	D	13/03/18	00:00:00	98.1200000	98.1200000	95.0900000	95.3900000	520647
America Express	D	14/03/18	00:00:00	95.9800000	96.1400000	94.0900000	94.5300000	315752
America Express	D	15/03/18	00:00:00	95.0100000	95.4100000	93.9700000	94.3800000	338470
America Express	D	16/03/18	00:00:00	94.6500000	96.3900000	94.2800000	95.6300000	252863
America Express	D	19/03/18	00:00:00	95.2700000	95.3700000	93.8100000	94.8500000	182311
America Express	D	20/03/18	00:00:00	95.3700000	95.6500000	94.7300000	94.9700000	303452
America Express	D	21/03/18	00:00:00	94.7900000	96.2700000	94.4100000	94.7300000	200113
America Express	D	22/03/18	00:00:00	93.6100000	93.9400000	91.1200000	91.4200000	435016
America Express	D	23/03/18	00:00:00	91.7200000	92.3500000	90.4100000	90.4700000	726543
America Express	D	26/03/18	00:00:00	91.6300000	92.9900000	90.8200000	92.6400000	249217
America Express	D	27/03/18	00:00:00	92.8100000	93.7200000	90.8700000	91.4500000	422804
America Express	D	28/03/18	00:00:00	91.8400000	93.5400000	91.6800000	92.1900000	480556
America Express	D	29/03/18	00:00:00	92.4600000	94.3600000	92.4100000	93.6200000	305040
America Express	D	02/04/18	00:00:00	93.0900000	93.5400000	89.9800000	91.0000000	545665
America Express	D	03/04/18	00:00:00	91.5500000	92.9100000	91.2500000	92.7900000	324853
America Express	D	04/04/18	00:00:00	91.3900000	93.9000000	91.1100000	93.6200000	390639
America Express	D	05/04/18	00:00:00	94.1700000	95.0400000	93.8000000	94.2300000	209988
America Express	D	06/04/18	00:00:00	93.0200000	93.8100000	90.8200000	91.8900000	257651
America Express	D	09/04/18	00:00:00	92.5500000	94.2300000	91.9700000	92.1300000	317622
America Express	D	10/04/18	00:00:00	93.4300000	93.6900000	92.5300000	92.9800000	365703
America Express	D	11/04/18	00:00:00	91.9300000	92.8100000	91.3700000	91.6000000	420727
America Express	D	12/04/18	00:00:00	92.0800000	93.9300000	92.0800000	93.3700000	289359
America Express	D	13/04/18	00:00:00	94.1400000	94.2700000	92.5400000	93.0500000	265126
America Express	D	16/04/18	00:00:00	93.6200000	94.1900000	93.1400000	93.6200000	231427
America Express	D	17/04/18	00:00:00	93.9800000	94.5900000	93.5900000	93.8900000	194936
America Express	D	18/04/18	00:00:00	94.0800000	95.2400000	94.0800000	95.1800000	344822
America Express	D	19/04/18	00:00:00	99.3800000	102.8900000	99.1900000	102.4300000	1000699
America Express	D	20/04/18	00:00:00	102.2400000	102.6000000	100.3800000	100.8000000	398046
America Express	D	23/04/18	00:00:00	100.8000000	101.1500000	99.9300000	100.6000000	298194
America Express	D	24/04/18	00:00:00	101.2000000	101.7000000	99.5900000	100.4300000	531348
America Express	D	25/04/18	00:00:00	99.9500000	99.9500000	97.9200000	98.7800000	471998
America Express	D	26/04/18	00:00:00	98.7500000	100.5100000	98.6100000	100.2650000	228823
America Express	D	27/04/18	00:00:00	100.0600000	100.2900000	98.9300000	99.6400000	169597
America Express	D	30/04/18	00:00:00	99.9800000	100.3500000	98.7400000	98.7400000	207753
America Express	D	01/05/18	00:00:00	98.8200000	98.8200000	97.3000000	98.6000000	218387
America Express	D	02/05/18	00:00:00	98.1100000	99.3700000	97.5700000	97.6500000	273751
America Express	D	03/05/18	00:00:00	97.1800000	97.3100000	95.5200000	97.1500000	242661
America Express	D	04/05/18	00:00:00	96.1400000	98.9500000	96.0400000	98.3500000	142597
America Express	D	07/05/18	00:00:00	98.6700000	98.9750000	98.3000000	98.5700000	173581
America Express	D	08/05/18	00:00:00	98.5300000	100.3700000	98.5300000	99.7800000	238725
America Express	D	09/05/18	00:00:00	100.1300000	100.9700000	99.5000000	100.5200000	176308
America Express	D	10/05/18	00:00:00	100.6300000	101.8600000	100.2200000	101.3700000	217312
America Express	D	11/05/18	00:00:00	101.4900000	102.6600000	101.2700000	101.4300000	166516
America Express	D	14/05/18	00:00:00	101.7900000	102.0800000	101.1200000	101.2800000	132908
America Express	D	15/05/18	00:00:00	100.6000000	101.2300000	99.9800000	100.7300000	246470
America Express	D	16/05/18	00:00:00	100.4400000	101.2400000	100.4200000	100.6100000	107130
America Express	D	17/05/18	00:00:00	100.7400000	101.6400000	100.3000000	101.2400000	183090
America Express	D	18/05/18	00:00:00	100.9000000	101.3000000	100.4600000	101.0000000	107101
America Express	D	21/05/18	00:00:00	101.7100000	102.3500000	101.6800000	102.0400000	135790
America Express	D	22/05/18	00:00:00	102.3200000	103.2400000	102.1600000	102.7100000	151620
America Express	D	23/05/18	00:00:00	101.9500000	102.2200000	100.9100000	101.9300000	176185
America Express	D	24/05/18	00:00:00	101.5000000	102.2700000	100.7200000	102.0400000	271076
America Express	D	25/05/18	00:00:00	101.3500000	101.6100000	100.4800000	101.1100000	100545
America Express	D	29/05/18	00:00:00	99.5600000	99.7200000	96.9800000	97.7200000	258996
America Express	D	30/05/18	00:00:00	98.9400000	99.4000000	97.9700000	98.9800000	198387
America Express	D	31/05/18	00:00:00	98.5300000	99.3200000	97.8200000	98.2600000	192831
America Express	D	01/06/18	00:00:00	99.3200000	99.6100000	98.2300000	98.2600000	125803
America Express	D	04/06/18	00:00:00	98.7900000	99.5000000	98.7500000	99.4400000	114572
America Express	D	05/06/18	00:00:00	99.1200000	99.3400000	98.4300000	99.3200000	143190
America Express	D	06/06/18	00:00:00	99.9800000	100.9900000	99.6100000	100.9450000	124911
America Express	D	07/06/18	00:00:00	101.3900000	102.3900000	100.8900000	101.4200000	302800
America Express	D	08/06/18	00:00:00	100.9600000	101.1000000	99.5900000	101.0000000	448441
America Express	D	11/06/18	00:00:00	100.8200000	101.6700000	100.8200000	101.2000000	198035
America Express	D	12/06/18	00:00:00	101.4500000	101.4900000	100.2400000	100.7000000	222055
America Express	D	13/06/18	00:00:00	100.7100000	100.8300000	99.9600000	100.0000000	167785
America Express	D	14/06/18	00:00:00	100.4800000	101.0700000	99.5200000	99.7100000	157125
America Express	D	15/06/18	00:00:00	99.0700000	99.1900000	97.3300000	98.5100000	263557
America Express	D	18/06/18	00:00:00	97.6800000	98.5400000	97.3200000	98.4600000	200161
America Express	D	19/06/18	00:00:00	97.2300000	97.9300000	96.6600000	97.1500000	234521
America Express	D	20/06/18	00:00:00	97.6900000	97.8900000	96.3600000	96.4150000	264352
America Express	D	21/06/18	00:00:00	96.1000000	96.9600000	95.7900000	96.6300000	323780
America Express	D	22/06/18	00:00:00	97.3500000	97.9600000	97.0850000	97.2950000	297824
America Express	D	25/06/18	00:00:00	96.8800000	100.0800000	95.6500000	98.5600000	595122
America Express	D	26/06/18	00:00:00	99.5000000	99.7200000	98.0800000	98.2050000	375212
America Express	D	27/06/18	00:00:00	98.4600000	99.2900000	96.9400000	96.9500000	271636
America Express	D	28/06/18	00:00:00	97.0500000	97.4400000	96.5900000	97.0200000	215738
America Express	D	29/06/18	00:00:00	97.9500000	99.4700000	97.8100000	98.0100000	310191
America Express	D	02/07/18	00:00:00	97.3600000	99.0400000	97.1600000	98.9800000	230061
America Express	D	03/07/18	00:00:00	99.1500000	99.2100000	97.7300000	97.8900000	124247
America Express	D	05/07/18	00:00:00	98.4400000	98.6200000	97.6400000	98.5200000	144817
America Express	D	06/07/18	00:00:00	98.2900000	99.0300000	98.2100000	98.5100000	103290
America Express	D	09/07/18	00:00:00	99.1600000	100.0100000	99.1200000	99.9100000	401614
America Express	D	10/07/18	00:00:00	99.9700000	100.4700000	99.5700000	99.9000000	256089
America Express	D	11/07/18	00:00:00	99.6600000	100.7900000	99.6600000	100.3100000	197029
America Express	D	12/07/18	00:00:00	101.0300000	101.3200000	100.6000000	101.1900000	177803
America Express	D	13/07/18	00:00:00	101.0500000	101.0500000	99.6300000	100.5450000	157669
America Express	D	16/07/18	00:00:00	100.4400000	100.8700000	100.0800000	100.6800000	166695
America Express	D	17/07/18	00:00:00	100.7800000	101.4500000	100.7300000	101.1500000	144239
America Express	D	18/07/18	00:00:00	101.5000000	103.0550000	101.4300000	103.0000000	304840
America Express	D	19/07/18	00:00:00	100.2000000	101.2700000	99.3100000	100.1800000	641302
America Express	D	20/07/18	00:00:00	100.0800000	101.3000000	99.9800000	100.1500000	194550
America Express	D	23/07/18	00:00:00	100.1900000	101.4000000	100.0800000	101.2400000	112640
America Express	D	24/07/18	00:00:00	101.4900000	102.0800000	101.1700000	101.7300000	164255
America Express	D	25/07/18	00:00:00	101.7400000	102.7700000	101.1000000	102.6500000	186696
America Express	D	26/07/18	00:00:00	102.8200000	103.1400000	102.3600000	102.6000000	175765
America Express	D	27/07/18	00:00:00	102.7000000	104.2300000	102.7000000	103.8900000	301302
America Express	D	30/07/18	00:00:00	102.7300000	103.0100000	100.3600000	100.8400000	325518
America Express	D	31/07/18	00:00:00	101.1000000	101.1500000	99.4500000	99.5200000	253279
America Express	D	01/08/18	00:00:00	99.8800000	100.9100000	99.1700000	99.4500000	189136
America Express	D	02/08/18	00:00:00	98.9000000	99.9200000	98.6800000	99.7200000	162024
America Express	D	03/08/18	00:00:00	99.7500000	100.8900000	99.7300000	100.7900000	101094
America Express	D	06/08/18	00:00:00	100.5700000	101.3100000	100.4000000	100.9050000	121551
America Express	D	07/08/18	00:00:00	101.5000000	102.7500000	101.4000000	101.9500000	116766
America Express	D	08/08/18	00:00:00	101.9900000	102.9400000	101.8100000	102.7700000	117274
America Express	D	09/08/18	00:00:00	102.3300000	103.3200000	102.3200000	103.0000000	144047
America Express	D	10/08/18	00:00:00	101.9400000	102.1100000	101.1700000	101.6000000	217445
America Express	D	13/08/18	00:00:00	101.4500000	102.2800000	101.4400000	101.7500000	264568
America Express	D	14/08/18	00:00:00	102.0000000	102.6000000	101.8300000	102.1700000	203709
America Express	D	15/08/18	00:00:00	101.6200000	101.9100000	100.8500000	101.5200000	134269
America Express	D	16/08/18	00:00:00	101.9300000	103.1400000	101.9300000	102.6500000	158076
America Express	D	17/08/18	00:00:00	102.3000000	103.3100000	102.3000000	103.0000000	130020
America Express	D	20/08/18	00:00:00	103.0200000	103.9600000	102.9600000	103.8300000	102684
America Express	D	21/08/18	00:00:00	103.8800000	105.2500000	103.7900000	104.8000000	180468
America Express	D	22/08/18	00:00:00	104.7600000	106.2500000	104.6100000	105.8300000	175526
America Express	D	23/08/18	00:00:00	105.3400000	106.0000000	105.1700000	105.3700000	118654
America Express	D	24/08/18	00:00:00	105.7300000	106.3400000	105.5400000	105.7800000	118546
America Express	D	27/08/18	00:00:00	106.4900000	107.3300000	106.2900000	107.0500000	113857
America Express	D	28/08/18	00:00:00	107.0300000	107.4200000	106.6800000	107.2800000	86683
America Express	D	29/08/18	00:00:00	107.1400000	107.3100000	105.9100000	106.7300000	96629
America Express	D	30/08/18	00:00:00	106.6100000	106.6400000	105.9700000	106.2200000	102487
America Express	D	31/08/18	00:00:00	105.8200000	106.4000000	105.6400000	105.9900000	92965
America Express	D	04/09/18	00:00:00	105.9600000	107.2700000	105.5900000	107.0300000	196339
America Express	D	05/09/18	00:00:00	106.9900000	107.2200000	104.9600000	105.7000000	411893
America Express	D	06/09/18	00:00:00	105.4900000	105.8700000	104.5900000	105.4000000	208564
America Express	D	07/09/18	00:00:00	105.6400000	106.3400000	105.3500000	106.0900000	113930
America Express	D	10/09/18	00:00:00	106.9000000	107.8000000	106.8600000	107.2900000	141896
America Express	D	11/09/18	00:00:00	106.7100000	108.4600000	106.6000000	108.3000000	143541
America Express	D	12/09/18	00:00:00	108.2800000	108.6700000	107.6800000	107.9200000	206497
America Express	D	13/09/18	00:00:00	108.2000000	109.1900000	108.1800000	108.6600000	176666
America Express	D	14/09/18	00:00:00	109.1100000	110.0000000	109.0900000	109.5400000	161860
America Express	D	17/09/18	00:00:00	110.1500000	110.1600000	108.9500000	108.9900000	128179
America Express	D	18/09/18	00:00:00	109.3600000	109.8700000	108.9700000	109.6600000	114359
America Express	D	19/09/18	00:00:00	109.9200000	110.4500000	109.8100000	110.0900000	138788
America Express	D	20/09/18	00:00:00	110.8500000	111.7400000	110.7100000	111.1300000	153467
America Express	D	21/09/18	00:00:00	111.2200000	111.5100000	110.7600000	110.9100000	143462
America Express	D	24/09/18	00:00:00	110.7700000	110.7800000	109.3500000	109.8500000	75818
America Express	D	25/09/18	00:00:00	110.0500000	110.1600000	109.4000000	109.8700000	102107
America Express	D	26/09/18	00:00:00	110.0800000	110.0800000	107.8000000	108.0200000	191752
America Express	D	27/09/18	00:00:00	107.8700000	108.3500000	107.3400000	107.8500000	113538
America Express	D	28/09/18	00:00:00	107.2500000	107.8700000	106.2900000	106.4900000	161748
America Express	D	01/10/18	00:00:00	107.8400000	108.9700000	107.7100000	107.9200000	178253
America Express	D	02/10/18	00:00:00	108.0100000	108.4600000	107.3100000	108.4100000	98111
America Express	D	03/10/18	00:00:00	109.1900000	109.3700000	108.2700000	108.4000000	136289
America Express	D	04/10/18	00:00:00	108.2400000	108.8200000	106.8200000	107.7300000	157236
America Express	D	05/10/18	00:00:00	108.0800000	108.4700000	106.7200000	107.2400000	108372
America Express	D	08/10/18	00:00:00	106.8100000	107.2200000	105.5900000	107.0100000	123384
America Express	D	09/10/18	00:00:00	106.5000000	106.9200000	106.0000000	106.6700000	206408
America Express	D	10/10/18	00:00:00	106.9600000	106.9600000	103.5500000	103.5900000	250723
