<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
3M	D	02/01/19	00:00:00	187.8200000	190.9700000	186.7500000	190.9300000	104720
3M	D	03/01/19	00:00:00	188.2800000	188.2800000	182.8900000	183.6350000	144880
3M	D	04/01/19	00:00:00	186.5900000	191.9600000	186.0900000	191.2400000	83085
3M	D	07/01/19	00:00:00	191.7400000	192.2900000	188.6700000	190.8800000	89519
3M	D	08/01/19	00:00:00	194.0600000	194.0600000	189.5800000	191.7000000	98127
3M	D	09/01/19	00:00:00	193.2000000	193.9200000	191.4600000	192.2300000	102972
3M	D	10/01/19	00:00:00	190.8700000	193.8000000	189.5500000	193.5900000	80989
3M	D	11/01/19	00:00:00	192.2400000	192.6900000	190.8650000	192.1800000	74343
3M	D	14/01/19	00:00:00	190.5700000	192.8300000	189.9800000	192.2400000	57451
3M	D	15/01/19	00:00:00	189.7600000	190.5800000	187.9500000	188.9600000	102454
3M	D	16/01/19	00:00:00	188.5800000	190.4100000	188.5800000	189.4500000	107090
3M	D	17/01/19	00:00:00	188.5600000	192.8200000	188.2200000	191.7000000	70295
3M	D	18/01/19	00:00:00	194.3400000	196.0500000	192.4800000	195.9100000	99034
3M	D	22/01/19	00:00:00	194.2900000	194.2900000	190.4600000	192.3000000	85950
3M	D	23/01/19	00:00:00	193.2300000	193.7100000	190.3300000	192.3300000	61739
3M	D	24/01/19	00:00:00	192.2600000	193.1300000	191.5200000	192.5100000	49568
3M	D	25/01/19	00:00:00	194.7800000	197.0600000	194.6000000	195.9000000	101927
3M	D	28/01/19	00:00:00	193.0200000	193.4100000	191.1000000	193.1700000	98438
3M	D	29/01/19	00:00:00	195.3600000	199.7600000	195.1600000	196.9200000	285158
3M	D	30/01/19	00:00:00	197.2600000	200.0800000	194.7600000	199.2300000	96496
3M	D	31/01/19	00:00:00	198.8000000	200.8800000	197.7400000	200.3400000	129277
3M	D	01/02/19	00:00:00	201.1600000	201.7300000	198.2900000	199.2800000	83435
3M	D	04/02/19	00:00:00	199.2000000	200.2200000	196.3200000	200.2200000	83722
3M	D	05/02/19	00:00:00	200.5300000	201.1100000	199.8900000	201.0300000	83543
3M	D	06/02/19	00:00:00	200.7800000	203.0300000	200.5700000	202.3600000	59610
3M	D	07/02/19	00:00:00	201.4900000	202.3100000	198.9000000	199.7800000	100599
3M	D	08/02/19	00:00:00	199.1900000	199.7500000	197.9500000	199.7500000	47386
3M	D	11/02/19	00:00:00	200.9800000	201.1600000	199.7300000	200.8700000	62306
