<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
3M	15	03/01/17	17:45:00	179.1900000	180.0000000	179.1500000	179.3100000	21099
3M	15	03/01/17	18:00:00	179.4300000	179.4800000	179.0200000	179.0200000	8100
3M	15	03/01/17	18:15:00	179.0200000	179.5300000	178.9800000	179.4500000	21300
3M	15	03/01/17	18:30:00	179.5000000	179.5100000	179.0800000	179.0800000	8894
3M	15	03/01/17	18:45:00	178.9600000	179.0300000	178.2900000	178.3012000	17531
3M	15	03/01/17	19:00:00	178.2845000	178.2845000	177.7500000	177.8500000	29302
3M	15	03/01/17	19:15:00	177.8400000	177.8400000	177.5750000	177.6800000	18552
3M	15	03/01/17	19:30:00	177.6100000	177.9500000	177.4900000	177.8000000	11160
3M	15	03/01/17	19:45:00	177.7400000	177.7500000	177.3300000	177.3300000	14390
3M	15	03/01/17	20:00:00	177.3300000	177.4800000	177.3100000	177.4800000	13227
3M	15	03/01/17	20:15:00	177.6000000	177.9000000	177.4800000	177.9000000	22080
3M	15	03/01/17	20:30:00	178.0000000	178.0000000	177.7900000	177.8200000	4089
3M	15	03/01/17	20:45:00	177.8100000	177.9900000	177.7600000	177.9900000	15379
3M	15	03/01/17	21:00:00	178.0000000	178.2200000	177.9850000	178.2200000	12112
3M	15	03/01/17	21:15:00	178.1400000	178.1400000	177.6600000	177.6900000	11792
3M	15	03/01/17	21:30:00	177.6614000	177.7100000	177.4400000	177.5000000	11163
3M	15	03/01/17	21:45:00	177.4937000	177.5400000	177.3200000	177.5400000	10955
3M	15	03/01/17	22:00:00	177.5000000	177.6200000	177.2600000	177.2900000	6698
3M	15	03/01/17	22:15:00	177.3000000	177.5400000	177.2700000	177.3100000	7890
3M	15	03/01/17	22:30:00	177.3400000	177.4700000	177.2500000	177.3400000	4147
3M	15	03/01/17	22:45:00	177.3700000	177.6100000	177.3300000	177.6100000	9988
3M	15	03/01/17	23:00:00	177.6300000	177.6600000	177.5000000	177.5600000	17322
3M	15	03/01/17	23:15:00	177.6100000	177.8300000	177.5708000	177.8000000	14727
3M	15	03/01/17	23:30:00	177.7400000	177.7800000	177.5800000	177.5800000	13637
3M	15	03/01/17	23:45:00	177.4900000	177.7000000	177.4500000	177.6800000	11939
3M	15	04/01/17	00:00:00	177.7600000	178.0700000	177.7600000	177.9700000	9403
3M	15	04/01/17	17:45:00	178.0300000	178.9000000	178.0300000	178.1900000	15658
3M	15	04/01/17	18:00:00	178.1350000	178.5600000	178.1100000	178.2300000	11131
3M	15	04/01/17	18:15:00	178.2400000	178.3000000	177.6800000	177.9000000	18424
3M	15	04/01/17	18:30:00	177.9300000	177.9300000	177.6600000	177.7900000	11713
3M	15	04/01/17	18:45:00	177.7800000	178.0000000	177.7300000	177.8900000	11939
3M	15	04/01/17	19:00:00	178.0500000	178.0600000	177.8800000	178.0400000	8622
3M	15	04/01/17	19:15:00	177.9800000	178.2600000	177.9800000	178.2450000	10169
3M	15	04/01/17	19:30:00	178.2306000	178.2900000	178.0800000	178.2848000	13119
3M	15	04/01/17	19:45:00	178.2600000	178.3400000	178.1600000	178.2300000	9434
3M	15	04/01/17	20:00:00	178.2300000	178.3500000	178.1800000	178.1800000	6189
3M	15	04/01/17	20:15:00	178.1850000	178.4600000	178.1600000	178.4500000	105510
3M	15	04/01/17	20:30:00	178.4100000	178.4200000	178.1700000	178.3900000	14827
3M	15	04/01/17	20:45:00	178.4400000	178.5000000	178.3100000	178.3700000	5847
3M	15	04/01/17	21:00:00	178.3400000	178.4000000	178.2600000	178.2900000	11537
3M	15	04/01/17	21:15:00	178.2900000	178.3010000	178.0319000	178.2100000	10570
3M	15	04/01/17	21:30:00	178.1700000	178.1800000	178.0300000	178.1300000	19658
3M	15	04/01/17	21:45:00	178.1500000	178.2200000	178.0900000	178.1540000	10473
3M	15	04/01/17	22:00:00	178.1600000	178.2350000	177.9200000	177.9200000	10364
3M	15	04/01/17	22:15:00	177.9600000	178.1300000	177.9260000	178.0800000	19199
3M	15	04/01/17	22:30:00	178.1100000	178.2100000	178.0200000	178.0200000	9416
3M	15	04/01/17	22:45:00	178.0500000	178.0500000	177.8600000	177.9500000	6124
3M	15	04/01/17	23:00:00	177.9600000	177.9800000	177.7800000	177.9180000	14938
3M	15	04/01/17	23:15:00	177.9400000	178.0700000	177.9300000	177.9700000	8603
3M	15	04/01/17	23:30:00	177.9300000	178.1200000	177.9100000	178.1200000	7254
3M	15	04/01/17	23:45:00	178.0600000	178.3200000	178.0500000	178.2700000	6013
3M	15	05/01/17	00:00:00	178.3200000	178.3600000	178.2000000	178.3200000	20105
3M	15	05/01/17	17:45:00	178.3900000	178.9400000	178.3200000	178.5600000	16886
3M	15	05/01/17	18:00:00	178.5700000	178.8250000	178.4700000	178.7200000	12187
3M	15	05/01/17	18:15:00	178.7500000	178.8500000	178.6363000	178.8500000	9828
3M	15	05/01/17	18:30:00	178.8500000	179.0500000	178.6600000	179.0500000	8823
3M	15	05/01/17	18:45:00	179.0600000	179.1000000	178.9500000	179.0300000	13031
3M	15	05/01/17	19:00:00	179.0400000	179.1200000	179.0000000	179.0400000	7627
3M	15	05/01/17	19:15:00	179.0300000	179.0601000	178.3100000	178.3100000	8702
3M	15	05/01/17	19:30:00	178.2672000	178.3400000	177.8900000	177.9300000	10090
3M	15	05/01/17	19:45:00	177.8700000	177.9000000	177.4000000	177.4200000	8749
3M	15	05/01/17	20:00:00	177.4700000	177.4700000	177.1500000	177.2000000	19513
3M	15	05/01/17	20:15:00	177.2400000	177.3100000	176.9100000	177.0000000	9631
3M	15	05/01/17	20:30:00	177.0800000	177.4400000	177.0800000	177.2500000	10833
3M	15	05/01/17	20:45:00	177.2300000	177.2600000	177.0800000	177.1600000	13216
3M	15	05/01/17	21:00:00	177.2000000	177.3500000	177.0700000	177.3200000	6520
3M	15	05/01/17	21:15:00	177.3000000	177.3300000	177.0950000	177.1050000	13224
3M	15	05/01/17	21:30:00	177.1200000	177.1550000	176.9800000	176.9900000	17996
3M	15	05/01/17	21:45:00	176.9900000	177.1000000	176.8900000	177.0300000	13097
3M	15	05/01/17	22:00:00	177.0300000	177.0800000	176.9700000	177.0300000	6898
3M	15	05/01/17	22:15:00	177.0400000	177.1800000	177.0000000	177.1150000	10807
3M	15	05/01/17	22:30:00	177.1150000	177.4050000	177.1150000	177.3900000	6029
3M	15	05/01/17	22:45:00	177.3410000	177.3600000	177.2800000	177.2900000	13845
3M	15	05/01/17	23:00:00	177.2700000	177.3600000	177.2000000	177.3160000	8196
3M	15	05/01/17	23:15:00	177.3200000	177.5800000	177.3200000	177.5500000	8147
3M	15	05/01/17	23:30:00	177.5900000	177.6000000	177.4700000	177.5300000	4486
3M	15	05/01/17	23:45:00	177.5300000	177.5500000	177.4700000	177.5100000	8315
3M	15	06/01/17	00:00:00	177.5900000	177.7500000	177.5600000	177.7000000	15690
3M	15	06/01/17	17:45:00	177.2900000	177.4500000	175.9000000	176.0700000	15218
3M	15	06/01/17	18:00:00	176.1400000	177.0300000	175.9500000	177.0300000	14839
3M	15	06/01/17	18:15:00	177.0400000	177.3400000	177.0200000	177.0995000	7247
3M	15	06/01/17	18:30:00	177.0900000	177.1800000	177.0400000	177.1400000	5416
3M	15	06/01/17	18:45:00	177.1300000	177.3100000	177.0000000	177.0400000	9226
3M	15	06/01/17	19:00:00	177.0600000	177.4500000	177.0600000	177.4200000	14965
3M	15	06/01/17	19:15:00	177.4000000	177.6400000	177.3550000	177.6400000	15812
3M	15	06/01/17	19:30:00	177.6500000	177.7800000	177.6250000	177.6900000	5997
3M	15	06/01/17	19:45:00	177.7300000	177.9000000	177.6300000	177.7600000	8583
3M	15	06/01/17	20:00:00	177.8200000	177.9700000	177.7000000	177.9400000	7400
3M	15	06/01/17	20:15:00	177.9500000	178.1609000	177.9500000	178.1400000	12153
3M	15	06/01/17	20:30:00	178.1400000	178.2800000	177.9900000	177.9900000	10363
3M	15	06/01/17	20:45:00	178.0200000	178.3200000	178.0200000	178.2100000	5924
3M	15	06/01/17	21:00:00	178.2000000	178.2300000	178.1400000	178.1500000	5722
3M	15	06/01/17	21:15:00	178.2100000	178.3600000	178.2100000	178.3300000	10499
3M	15	06/01/17	21:30:00	178.3400000	178.4100000	178.2700000	178.3200000	9486
3M	15	06/01/17	21:45:00	178.2700000	178.5500000	178.2700000	178.5500000	7951
3M	15	06/01/17	22:00:00	178.5500000	178.5700000	178.2300000	178.2300000	8163
3M	15	06/01/17	22:15:00	178.2600000	178.3600000	178.1100000	178.2200000	3842
3M	15	06/01/17	22:30:00	178.1900000	178.2100000	178.0100000	178.1105000	8781
3M	15	06/01/17	22:45:00	178.0900000	178.2300000	178.0000000	178.0600000	10950
